customer_id,age,annual_income,purchase_frequency,avg_order_value,days_since_last_purchase,cluster,segment,pc1,pc2
1,56,23343,17,459,356,2,Frequent mid-spenders,1.309887679466241,-2.7255728129395753
2,69,33500,13,255,173,0,Active seniors,0.47070598701262695,-1.2051036641568111
3,46,73222,4,258,221,1,At-risk big spenders,0.459143705414724,0.6513448190707842
4,32,49375,10,396,119,3,Young occasional buyers,-0.08093547676779755,-0.2578277658035031
5,60,29662,3,285,309,1,At-risk big spenders,1.1883467822774982,-0.6391432125536987
6,25,36964,9,433,183,3,Young occasional buyers,0.030274179061125155,-0.6636410434233451
7,38,79638,13,428,288,2,Frequent mid-spenders,0.7942875592212348,-0.626680750256314
8,56,93666,18,378,307,2,Frequent mid-spenders,1.063663396237028,-1.0000019339983266
9,36,105067,15,359,300,2,Frequent mid-spenders,0.440042369392635,-0.25114235129643553
10,40,87215,4,408,82,3,Young occasional buyers,0.6515770514030103,1.3624637359779357
11,28,89042,15,84,211,2,Frequent mid-spenders,-1.5637817981222526,0.053222920122997376
12,28,33284,2,497,150,3,Young occasional buyers,0.6965799533165553,0.10025765164919398
13,41,92789,15,196,37,0,Active seniors,-1.034323677904826,0.6084546815574036
14,53,104664,8,22,352,2,Frequent mid-spenders,-0.1247837411543215,0.6106636609390343
15,57,113468,8,448,312,1,At-risk big spenders,2.071081875834328,0.4942680729226649
16,41,81389,17,161,361,2,Frequent mid-spenders,-0.40899886412001596,-1.0596190233881861
17,20,29435,12,395,59,3,Young occasional buyers,-0.8960288218307386,-0.644181684104207
18,39,74340,19,177,131,2,Frequent mid-spenders,-1.2186387768288391,-0.5871211394973264
19,19,64078,10,343,202,3,Young occasional buyers,-0.49237683446284475,-0.11943145877428873
20,41,98832,9,165,243,2,Frequent mid-spenders,-0.24435493968832048,0.6891898917540228
21,61,71293,5,465,35,0,Active seniors,1.4197264274921466,0.9009044600733682
22,47,115981,6,312,93,0,Active seniors,0.49937564892938097,1.7979094769062811
23,55,98781,2,172,207,1,At-risk big spenders,0.5415721265597399,1.5479188235941974
24,19,80403,13,451,353,2,Frequent mid-spenders,0.42346880262602665,-0.7800471297539407
25,38,49124,6,212,332,1,At-risk big spenders,0.04815733391322014,-0.4456928441761111
26,50,115435,5,456,305,1,At-risk big spenders,2.0012891010137968,0.9370038056130991
27,29,63919,1,482,350,1,At-risk big spenders,1.454457377323516,0.15712878054223686
28,39,55247,6,92,213,3,Young occasional buyers,-0.8363296176581073,0.2588833141863712
29,61,114758,6,418,159,1,At-risk big spenders,1.720081102872771,1.3394380789335345
30,42,111747,16,324,24,0,Active seniors,-0.3533602187807235,0.8279437791550222
31,66,82752,4,396,293,1,At-risk big spenders,2.126770315109297,0.34630381573649394
32,44,76573,11,363,4,0,Active seniors,-0.06927526499290426,0.6404942171958266
33,59,79101,9,471,220,1,At-risk big spenders,1.7616613891338775,-0.07650326769919853
34,45,46646,3,159,364,1,At-risk big spenders,0.26935619446034614,-0.2580685757659093
35,33,43049,19,206,20,0,Active seniors,-1.775192569687063,-0.8676403680301452
36,32,99605,8,312,152,3,Young occasional buyers,-0.048251832368607625,1.0575910211723856
37,64,118116,5,80,50,0,Active seniors,-0.11433980187853936,2.2758280663911212
38,68,117379,4,446,177,1,At-risk big spenders,2.2790520297035206,1.4946341655737396
39,61,88385,6,399,96,0,Active seniors,1.3060672629501493,1.0070050709219436
40,69,60158,2,217,105,0,Active seniors,0.7723630852317734,0.9496234779260572
41,20,85417,11,314,250,2,Frequent mid-spenders,-0.4025653799957863,0.08688264332593146
42,54,43289,4,459,117,1,At-risk big spenders,1.2911056086958508,0.12354787839211823
43,68,29823,15,338,354,1,At-risk big spenders,1.2647785305224462,-2.2796872860018884
44,24,80160,6,321,228,3,Young occasional buyers,-0.06180576176461286,0.5985326728298354
45,38,61975,17,363,66,0,Active seniors,-0.47916415106030597,-0.5773111443727854
46,26,29540,6,30,335,2,Frequent mid-spenders,-1.380620965888896,-0.6433432997974589
47,56,36364,19,81,262,2,Frequent mid-spenders,-0.8911374087801172,-1.9171454576346796
48,35,24611,2,352,295,1,At-risk big spenders,0.6095208702263591,-0.5249254710219835
49,21,47663,15,245,243,2,Frequent mid-spenders,-1.1248708925714626,-1.1233388048653907
50,42,71991,11,172,186,2,Frequent mid-spenders,-0.5788338162953238,0.06178914595058018
51,31,77679,8,218,246,3,Young occasional buyers,-0.38547291554129887,0.3165545880009627
52,67,50977,19,71,125,0,Active seniors,-0.8782343555743513,-1.1211521944606875
53,26,114704,13,279,268,2,Frequent mid-spenders,-0.26282970624288843,0.44933505639032756
54,43,69115,12,78,131,0,Active seniors,-1.2401745941626536,0.18236279562393065
55,19,111007,5,91,237,3,Young occasional buyers,-1.1566629438669829,1.6339796171040224
56,37,108223,6,167,18,3,Young occasional buyers,-0.8442839913704863,2.1094402929638014
57,45,80890,4,368,40,3,Young occasional buyers,0.4752149359881619,1.3950125054197877
58,64,86387,19,82,21,0,Active seniors,-1.0606017080054686,0.06590316527204161
59,24,38071,1,329,225,3,Young occasional buyers,0.011283543175856772,0.23510837494552814
60,61,79275,17,392,355,2,Frequent mid-spenders,1.4333925039630488,-1.4279252408448946
61,25,92369,12,262,282,2,Frequent mid-spenders,-0.40376528539671097,0.03515182390483299
62,64,31938,15,385,8,0,Active seniors,0.3424321682031786,-0.9577959882662371
63,52,55195,1,349,100,1,At-risk big spenders,0.8321635372907024,0.922958057351091
64,31,111680,14,126,240,2,Frequent mid-spenders,-0.9959578705769462,0.5056268950856619
65,34,24000,6,245,87,3,Young occasional buyers,-0.7822177570146931,-0.09831748354752072
66,53,90588,5,332,298,1,At-risk big spenders,1.3442438860763317,0.5215200105907325
67,67,113610,11,237,14,0,Active seniors,0.34316556969103257,1.4427589116084893
68,57,117856,4,444,334,1,At-risk big spenders,2.3413802761388736,0.9730644171574656
69,21,58304,13,260,2,3,Young occasional buyers,-1.6081938824439914,0.23604527265627434
70,19,89449,11,278,293,2,Frequent mid-spenders,-0.47059250059790597,0.057696022982373675
71,23,102986,3,395,325,1,At-risk big spenders,0.8259385082810271,1.0161850815046558
72,59,109643,1,281,41,0,Active seniors,0.8433222474163096,2.39653540961306
73,21,40764,6,24,318,3,Young occasional buyers,-1.5838375199368757,-0.29639737569739133
74,46,106027,18,280,316,2,Frequent mid-spenders,0.3044623425733797,-0.6040078404720414
75,35,58494,10,73,111,3,Young occasional buyers,-1.5633336704324585,0.29655581125752994
76,43,23373,5,66,14,3,Young occasional buyers,-1.5211658301020528,0.4170597813856986
